# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 8.020180E-01 1.844745E-01 1.022576E-03
3.216802E-03 6.603796E-01 9.635198E-02 1.024219E-03
3.449271E-03 5.277999E-01 9.460362E-02 1.025745E-03
3.698540E-03 6.943260E-01 7.060516E-02 1.028984E-03
3.965823E-03 5.322051E-01 6.482973E-02 1.032343E-03
4.252422E-03 7.551416E-01 5.448825E-02 1.034278E-03
4.559733E-03 6.016142E-01 4.532977E-02 1.039029E-03
4.889253E-03 6.335078E-01 3.791653E-02 1.043148E-03
5.242585E-03 6.302848E-01 3.073068E-02 1.047768E-03
5.621452E-03 6.013503E-01 2.584383E-02 1.053961E-03
6.027699E-03 5.854140E-01 2.108562E-02 1.060161E-03
6.463304E-03 5.849122E-01 1.748159E-02 1.067622E-03
6.930389E-03 5.819713E-01 1.466541E-02 1.076767E-03
7.431229E-03 5.873941E-01 1.264860E-02 1.085826E-03
7.968263E-03 5.908198E-01 1.074846E-02 1.097192E-03
8.544108E-03 5.734676E-01 9.223938E-03 1.109830E-03
9.161567E-03 5.823987E-01 8.177872E-03 1.124127E-03
9.823647E-03 5.667438E-01 7.290401E-03 1.140261E-03
1.053358E-02 5.790215E-01 6.565166E-03 1.158651E-03
1.129481E-02 5.676960E-01 5.879001E-03 1.179375E-03
1.211105E-02 5.638255E-01 5.334687E-03 1.203018E-03
1.298628E-02 5.712692E-01 4.943115E-03 1.229203E-03
1.392477E-02 5.653284E-01 4.487036E-03 1.258798E-03
1.493107E-02 5.647306E-01 4.353500E-03 1.291652E-03
1.601010E-02 5.652767E-01 4.154419E-03 1.328775E-03
1.716710E-02 5.713475E-01 3.934773E-03 1.370567E-03
1.840772E-02 5.642387E-01 3.701223E-03 1.416883E-03
1.973800E-02 5.520976E-01 3.462254E-03 1.468232E-03
2.116441E-02 5.581776E-01 3.292084E-03 1.524926E-03
2.269390E-02 5.562142E-01 3.072642E-03 1.588041E-03
2.433392E-02 5.434369E-01 2.878267E-03 1.657924E-03
2.609247E-02 5.371687E-01 2.716322E-03 1.734024E-03
2.797810E-02 5.280589E-01 2.524734E-03 1.817744E-03
3.000000E-02 5.163430E-01 2.369812E-03 1.909368E-03
3.216802E-02 5.071934E-01 2.410465E-03 2.007514E-03
3.449271E-02 4.895274E-01 5.343615E-03 2.123006E-03
3.449271E-02 4.935396E-01 2.603702E-03 2.117247E-03
3.698540E-02 4.824361E-01 2.903357E-03 2.221937E-03
3.698540E-02 4.754735E-01 2.694269E-03 2.235461E-03
3.965823E-02 4.561787E-01 2.793327E-03 2.392239E-03
3.965823E-02 4.591292E-01 3.223664E-03 2.363213E-03
4.252422E-02 4.334683E-01 2.826920E-03 2.515863E-03
4.559733E-02 4.074520E-01 2.219195E-03 2.683190E-03
4.889253E-02 4.009245E-01 2.063516E-03 2.826872E-03
5.242585E-02 3.681591E-01 1.756180E-03 3.002593E-03
5.621452E-02 3.482588E-01 1.545732E-03 3.214612E-03
6.027699E-02 3.313243E-01 1.364145E-03 3.424348E-03
6.463304E-02 3.104360E-01 1.248694E-03 3.644706E-03
6.930389E-02 2.906658E-01 1.067633E-03 3.884781E-03
7.431229E-02 2.750053E-01 9.612030E-04 4.150205E-03
7.968263E-02 2.607859E-01 8.993070E-04 4.426642E-03
8.544108E-02 2.501956E-01 7.684418E-04 4.727185E-03
9.161567E-02 2.403455E-01 7.350670E-04 5.056644E-03
9.823647E-02 2.337819E-01 6.516488E-04 5.403842E-03
1.053358E-01 2.286876E-01 5.777477E-04 5.787672E-03
1.129481E-01 2.240952E-01 5.663110E-04 6.192024E-03
1.211105E-01 2.219326E-01 4.959993E-04 6.618696E-03
1.298628E-01 2.201631E-01 4.597502E-04 7.095646E-03
1.392477E-01 2.187549E-01 4.312346E-04 7.600019E-03
1.493107E-01 2.183769E-01 3.957777E-04 8.133031E-03
1.601010E-01 2.185374E-01 3.679448E-04 8.714801E-03
1.716710E-01 2.174889E-01 3.445936E-04 9.335385E-03
1.840772E-01 2.169330E-01 3.136957E-04 1.000273E-02
1.973800E-01 2.165456E-01 2.938578E-04 1.071698E-02
2.116441E-01 2.167004E-01 2.753107E-04 1.147904E-02
2.269390E-01 2.166521E-01 2.518756E-04 1.230235E-02
2.433392E-01 2.162999E-01 2.346914E-04 1.318745E-02
2.609247E-01 2.163696E-01 2.193220E-04 1.414339E-02
2.797810E-01 2.159632E-01 2.051958E-04 1.515465E-02
3.000000E-01 2.155849E-01 1.896081E-04 1.624349E-02
3.216802E-01 2.157734E-01 1.768844E-04 1.740883E-02
3.449271E-01 2.153568E-01 1.637673E-04 1.867111E-02
3.698540E-01 2.154276E-01 1.537889E-04 2.001704E-02
3.965823E-01 2.153295E-01 1.439483E-04 2.144761E-02
4.252422E-01 2.153709E-01 1.453143E-04 2.297144E-02
4.559733E-01 2.154189E-01 1.448501E-04 2.464497E-02
4.889253E-01 2.153276E-01 1.433173E-04 2.642220E-02
5.242585E-01 2.151170E-01 1.408649E-04 2.833315E-02
5.621452E-01 2.151956E-01 1.378665E-04 3.037887E-02
6.027699E-01 2.150085E-01 1.351717E-04 3.257796E-02
6.463304E-01 2.151212E-01 1.314792E-04 3.492226E-02
6.930389E-01 2.150405E-01 1.281092E-04 3.745565E-02
7.431229E-01 2.149557E-01 1.248925E-04 4.015934E-02
7.968263E-01 2.147496E-01 1.257956E-04 4.298116E-02
8.544108E-01 2.147865E-01 2.369352E-04 4.551718E-02
