# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 6.109690E-01 1.804362E-01 1.022576E-03
3.216802E-03 5.847714E-01 9.444283E-02 1.024219E-03
3.449271E-03 5.099018E-01 9.285907E-02 1.025745E-03
3.698540E-03 5.120181E-01 6.891989E-02 1.028984E-03
3.965823E-03 5.774258E-01 6.385041E-02 1.032343E-03
4.252422E-03 6.574166E-01 5.315314E-02 1.034277E-03
4.559733E-03 6.469681E-01 4.461989E-02 1.039029E-03
4.889253E-03 5.831334E-01 3.697893E-02 1.043148E-03
5.242585E-03 6.713828E-01 3.030023E-02 1.047767E-03
5.621452E-03 5.947207E-01 2.528457E-02 1.053961E-03
6.027699E-03 6.146059E-01 2.076544E-02 1.060160E-03
6.463304E-03 6.155454E-01 1.723077E-02 1.067622E-03
6.930389E-03 6.236246E-01 1.451108E-02 1.076767E-03
7.431229E-03 6.101813E-01 1.245198E-02 1.085825E-03
7.968263E-03 6.034408E-01 1.053019E-02 1.097191E-03
8.544108E-03 6.198275E-01 9.184395E-03 1.109829E-03
9.161567E-03 6.218747E-01 8.136603E-03 1.124127E-03
9.823647E-03 6.005915E-01 7.227504E-03 1.140260E-03
1.053358E-02 6.184990E-01 6.532313E-03 1.158650E-03
1.129481E-02 6.084235E-01 5.865483E-03 1.179374E-03
1.211105E-02 6.131904E-01 5.357895E-03 1.203017E-03
1.298628E-02 6.122875E-01 4.946723E-03 1.229202E-03
1.392477E-02 6.102354E-01 4.496937E-03 1.258797E-03
1.493107E-02 6.065710E-01 4.353223E-03 1.291652E-03
1.601010E-02 6.009099E-01 4.135702E-03 1.328774E-03
1.716710E-02 5.948479E-01 3.887834E-03 1.370567E-03
1.840772E-02 5.990461E-01 3.686916E-03 1.416883E-03
1.973800E-02 5.940813E-01 3.471042E-03 1.468231E-03
2.116441E-02 5.916839E-01 3.282257E-03 1.524925E-03
2.269390E-02 5.863596E-01 3.054512E-03 1.588060E-03
2.433392E-02 5.737425E-01 2.858136E-03 1.657948E-03
2.609247E-02 5.622918E-01 2.691714E-03 1.734023E-03
2.797810E-02 5.446390E-01 2.484081E-03 1.817744E-03
3.000000E-02 5.353069E-01 2.337327E-03 1.909367E-03
3.216802E-02 5.243589E-01 2.372679E-03 2.007513E-03
3.449271E-02 5.044316E-01 5.316877E-03 2.123005E-03
3.449271E-02 5.072448E-01 2.556648E-03 2.117246E-03
3.698540E-02 4.978770E-01 2.893450E-03 2.221935E-03
3.698540E-02 4.926602E-01 2.656912E-03 2.235460E-03
3.965823E-02 4.594184E-01 2.742999E-03 2.392238E-03
3.965823E-02 4.618221E-01 3.135844E-03 2.363212E-03
4.252422E-02 4.309341E-01 2.751979E-03 2.515862E-03
4.559733E-02 4.077412E-01 2.171110E-03 2.683188E-03
4.889253E-02 3.919736E-01 1.991412E-03 2.826870E-03
5.242585E-02 3.530557E-01 1.677133E-03 3.002592E-03
5.621452E-02 3.273116E-01 1.459621E-03 3.214610E-03
6.027699E-02 3.068086E-01 1.277439E-03 3.424347E-03
6.463304E-02 2.833376E-01 1.162050E-03 3.644704E-03
6.930389E-02 2.587001E-01 9.807286E-04 3.884779E-03
7.431229E-02 2.419336E-01 8.788484E-04 4.150203E-03
7.968263E-02 2.253737E-01 8.150041E-04 4.426640E-03
8.544108E-02 2.115173E-01 6.893615E-04 4.727183E-03
9.161567E-02 2.002889E-01 6.555690E-04 5.056642E-03
9.823647E-02 1.933853E-01 5.787398E-04 5.403840E-03
1.053358E-01 1.869349E-01 5.101783E-04 5.787669E-03
1.129481E-01 1.827026E-01 4.996584E-04 6.192021E-03
1.211105E-01 1.804314E-01 4.370895E-04 6.618693E-03
1.298628E-01 1.780325E-01 4.039243E-04 7.095642E-03
1.392477E-01 1.772794E-01 3.792482E-04 7.600015E-03
1.493107E-01 1.764618E-01 3.475983E-04 8.133027E-03
1.601010E-01 1.765658E-01 3.230087E-04 8.714796E-03
1.716710E-01 1.756931E-01 3.023495E-04 9.335380E-03
1.840772E-01 1.745954E-01 2.748236E-04 1.000272E-02
1.973800E-01 1.736726E-01 2.568743E-04 1.071697E-02
2.116441E-01 1.742289E-01 2.408859E-04 1.147903E-02
2.269390E-01 1.738712E-01 2.201545E-04 1.230234E-02
2.433392E-01 1.735468E-01 2.051749E-04 1.318744E-02
2.609247E-01 1.736877E-01 1.917711E-04 1.414338E-02
2.797810E-01 1.731593E-01 1.792930E-04 1.515465E-02
3.000000E-01 1.729657E-01 1.657558E-04 1.624348E-02
3.216802E-01 1.729383E-01 1.545419E-04 1.740882E-02
3.449271E-01 1.727848E-01 1.431710E-04 1.867110E-02
3.698540E-01 1.726857E-01 1.343608E-04 2.001703E-02
3.965823E-01 1.723180E-01 1.256357E-04 2.144760E-02
4.252422E-01 1.726116E-01 1.268703E-04 2.297143E-02
4.559733E-01 1.724602E-01 1.262869E-04 2.464496E-02
4.889253E-01 1.722530E-01 1.248428E-04 2.642219E-02
5.242585E-01 1.722389E-01 1.227576E-04 2.833313E-02
5.621452E-01 1.719724E-01 1.199896E-04 3.037886E-02
6.027699E-01 1.718675E-01 1.176067E-04 3.257795E-02
6.463304E-01 1.715486E-01 1.141868E-04 3.492224E-02
6.930389E-01 1.716153E-01 1.112407E-04 3.745563E-02
7.431229E-01 1.712275E-01 1.082924E-04 4.015932E-02
7.968263E-01 1.708820E-01 1.089168E-04 4.298114E-02
8.544108E-01 1.702264E-01 2.044971E-04 4.551716E-02
