# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 8.667984E-01 1.729020E-01 1.022577E-03
3.216802E-03 8.699936E-01 9.046960E-02 1.024219E-03
3.449271E-03 7.488576E-01 8.887615E-02 1.025745E-03
3.698540E-03 7.448921E-01 6.605360E-02 1.028984E-03
3.965823E-03 7.818408E-01 6.121946E-02 1.032343E-03
4.252422E-03 7.676837E-01 5.076126E-02 1.034278E-03
4.559733E-03 7.947031E-01 4.272897E-02 1.039029E-03
4.889253E-03 7.855086E-01 3.569690E-02 1.043148E-03
5.242585E-03 7.699406E-01 2.891750E-02 1.047768E-03
5.621452E-03 7.692025E-01 2.441906E-02 1.053961E-03
6.027699E-03 7.789466E-01 2.010711E-02 1.060161E-03
6.463304E-03 7.730954E-01 1.674999E-02 1.067622E-03
6.930389E-03 7.813741E-01 1.414628E-02 1.076767E-03
7.431229E-03 7.613259E-01 1.217914E-02 1.085826E-03
7.968263E-03 7.462107E-01 1.032832E-02 1.097192E-03
8.544108E-03 7.692264E-01 9.065888E-03 1.109830E-03
9.161567E-03 7.725453E-01 8.059818E-03 1.124127E-03
9.823647E-03 7.516188E-01 7.196935E-03 1.140261E-03
1.053358E-02 7.595030E-01 6.493754E-03 1.158651E-03
1.129481E-02 7.565709E-01 5.857785E-03 1.179375E-03
1.211105E-02 7.585227E-01 5.356681E-03 1.203018E-03
1.298628E-02 7.513952E-01 4.937874E-03 1.229203E-03
1.392477E-02 7.428764E-01 4.485439E-03 1.258798E-03
1.493107E-02 7.388943E-01 4.348631E-03 1.291652E-03
1.601010E-02 7.333448E-01 4.134605E-03 1.328775E-03
1.716710E-02 7.369008E-01 3.915250E-03 1.370567E-03
1.840772E-02 7.220988E-01 3.674905E-03 1.416884E-03
1.973800E-02 7.222036E-01 3.474445E-03 1.468232E-03
2.116441E-02 7.103832E-01 3.265830E-03 1.524926E-03
2.269390E-02 6.982924E-01 3.029945E-03 1.588041E-03
2.433392E-02 6.754331E-01 2.820268E-03 1.657925E-03
2.609247E-02 6.665240E-01 2.665527E-03 1.734025E-03
2.797810E-02 6.448919E-01 2.457083E-03 1.817745E-03
3.000000E-02 6.240753E-01 2.296077E-03 1.909368E-03
3.216802E-02 5.942907E-01 2.300974E-03 2.007514E-03
3.449271E-02 5.674859E-01 5.360228E-03 2.123006E-03
3.449271E-02 5.700414E-01 2.467624E-03 2.117248E-03
3.698540E-02 5.497639E-01 2.891829E-03 2.221937E-03
3.698540E-02 5.426547E-01 2.542339E-03 2.235461E-03
3.965823E-02 4.992802E-01 2.702616E-03 2.392240E-03
3.965823E-02 5.038339E-01 2.987622E-03 2.363213E-03
4.252422E-02 4.524544E-01 2.652578E-03 2.515863E-03
4.559733E-02 4.164214E-01 2.060387E-03 2.683190E-03
4.889253E-02 3.900074E-01 1.864796E-03 2.826872E-03
5.242585E-02 3.356339E-01 1.527520E-03 3.002593E-03
5.621452E-02 2.950607E-01 1.291607E-03 3.214612E-03
6.027699E-02 2.586231E-01 1.092352E-03 3.424349E-03
6.463304E-02 2.208696E-01 9.575305E-04 3.644707E-03
6.930389E-02 1.863641E-01 7.787363E-04 3.884781E-03
7.431229E-02 1.571977E-01 6.665190E-04 4.150205E-03
7.968263E-02 1.315293E-01 5.904838E-04 4.426643E-03
8.544108E-02 1.124701E-01 4.825357E-04 4.727186E-03
9.161567E-02 9.547642E-02 4.396306E-04 5.056645E-03
9.823647E-02 8.508665E-02 3.768057E-04 5.403843E-03
1.053358E-01 7.461859E-02 3.206840E-04 5.787673E-03
1.129481E-01 6.926172E-02 3.081228E-04 6.192025E-03
1.211105E-01 6.547817E-02 2.652071E-04 6.618697E-03
1.298628E-01 6.233260E-02 2.416168E-04 7.095646E-03
1.392477E-01 6.040317E-02 2.247226E-04 7.600020E-03
1.493107E-01 5.949821E-02 2.048134E-04 8.133032E-03
1.601010E-01 5.868537E-02 1.890437E-04 8.714801E-03
1.716710E-01 5.770670E-02 1.759930E-04 9.335386E-03
1.840772E-01 5.675896E-02 1.594101E-04 1.000273E-02
1.973800E-01 5.638069E-02 1.486156E-04 1.071698E-02
2.116441E-01 5.605382E-02 1.387394E-04 1.147904E-02
2.269390E-01 5.555203E-02 1.264322E-04 1.230235E-02
2.433392E-01 5.552314E-02 1.178296E-04 1.318745E-02
2.609247E-01 5.517491E-02 1.099302E-04 1.414339E-02
2.797810E-01 5.481994E-02 1.027817E-04 1.515465E-02
3.000000E-01 5.469398E-02 9.493995E-05 1.624349E-02
3.216802E-01 5.448883E-02 8.844530E-05 1.740883E-02
3.449271E-01 5.435211E-02 8.184828E-05 1.867111E-02
3.698540E-01 5.431388E-02 7.680721E-05 2.001704E-02
3.965823E-01 5.408509E-02 7.172833E-05 2.144762E-02
4.252422E-01 5.415860E-02 7.225147E-05 2.297145E-02
4.559733E-01 5.414862E-02 7.161322E-05 2.464498E-02
4.889253E-01 5.417269E-02 7.066686E-05 2.642221E-02
5.242585E-01 5.382785E-02 6.947579E-05 2.833315E-02
5.621452E-01 5.411721E-02 6.803965E-05 3.037888E-02
6.027699E-01 5.412022E-02 6.664126E-05 3.257796E-02
6.463304E-01 5.415236E-02 6.470157E-05 3.492227E-02
6.930389E-01 5.435149E-02 6.300259E-05 3.745565E-02
7.431229E-01 5.454035E-02 6.159944E-05 4.015935E-02
7.968263E-01 5.461189E-02 6.178944E-05 4.298116E-02
8.544108E-01 5.485836E-02 1.159960E-04 4.551719E-02
