# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 2.540799E+00 1.860721E-01 1.022578E-03
3.216802E-03 2.400592E+00 9.736525E-02 1.024220E-03
3.449271E-03 2.354924E+00 9.651730E-02 1.025747E-03
3.698540E-03 2.411222E+00 7.239311E-02 1.028985E-03
3.965823E-03 2.330903E+00 6.757078E-02 1.032345E-03
4.252422E-03 2.387349E+00 5.704986E-02 1.034279E-03
4.559733E-03 2.427765E+00 4.884865E-02 1.039031E-03
4.889253E-03 2.304283E+00 4.133278E-02 1.043150E-03
5.242585E-03 2.295646E+00 3.436837E-02 1.047769E-03
5.621452E-03 2.289857E+00 2.988561E-02 1.053963E-03
6.027699E-03 2.259745E+00 2.537352E-02 1.060163E-03
6.463304E-03 2.238966E+00 2.193270E-02 1.067624E-03
6.930389E-03 2.234638E+00 1.925911E-02 1.076770E-03
7.431229E-03 2.206009E+00 1.721047E-02 1.085828E-03
7.968263E-03 2.162803E+00 1.511207E-02 1.097195E-03
8.544108E-03 2.191110E+00 1.372058E-02 1.109833E-03
9.161567E-03 2.158279E+00 1.244971E-02 1.124131E-03
9.823647E-03 2.126504E+00 1.136067E-02 1.140264E-03
1.053358E-02 2.130043E+00 1.045434E-02 1.158655E-03
1.129481E-02 2.103586E+00 9.549593E-03 1.179379E-03
1.211105E-02 2.081164E+00 8.804088E-03 1.203022E-03
1.298628E-02 2.040572E+00 8.152237E-03 1.229208E-03
1.392477E-02 1.987601E+00 7.415147E-03 1.258804E-03
1.493107E-02 1.948768E+00 7.178713E-03 1.291659E-03
1.601010E-02 1.902548E+00 6.811303E-03 1.328782E-03
1.716710E-02 1.847717E+00 6.369267E-03 1.370575E-03
1.840772E-02 1.771725E+00 5.932947E-03 1.416892E-03
1.973800E-02 1.709574E+00 5.522916E-03 1.468241E-03
2.116441E-02 1.623184E+00 5.113550E-03 1.524936E-03
2.269390E-02 1.538495E+00 4.664077E-03 1.588052E-03
2.433392E-02 1.437464E+00 4.269779E-03 1.657937E-03
2.609247E-02 1.335555E+00 3.925239E-03 1.734038E-03
2.797810E-02 1.226591E+00 3.526399E-03 1.817759E-03
3.000000E-02 1.116819E+00 3.199674E-03 1.909384E-03
3.216802E-02 1.013332E+00 3.136439E-03 2.007531E-03
3.449271E-02 9.016532E-01 7.487291E-03 2.123025E-03
3.449271E-02 9.209446E-01 3.278141E-03 2.117266E-03
3.698540E-02 8.314701E-01 3.918918E-03 2.221957E-03
3.698540E-02 8.090071E-01 3.247902E-03 2.235481E-03
3.965823E-02 6.976056E-01 3.461589E-03 2.392262E-03
3.965823E-02 7.007772E-01 3.688260E-03 2.363235E-03
4.252422E-02 5.977062E-01 3.271228E-03 2.515887E-03
4.559733E-02 5.097537E-01 2.430410E-03 2.683216E-03
4.889253E-02 4.533808E-01 2.128679E-03 2.826900E-03
5.242585E-02 3.693462E-01 1.690820E-03 3.002623E-03
5.621452E-02 3.071169E-01 1.385886E-03 3.214644E-03
6.027699E-02 2.614917E-01 1.155138E-03 3.424383E-03
6.463304E-02 2.226910E-01 1.011076E-03 3.644744E-03
6.930389E-02 1.861911E-01 8.194295E-04 3.884822E-03
7.431229E-02 1.629737E-01 7.135757E-04 4.150248E-03
7.968263E-02 1.446717E-01 6.490101E-04 4.426689E-03
8.544108E-02 1.301118E-01 5.399594E-04 4.727236E-03
9.161567E-02 1.189723E-01 5.068570E-04 5.056699E-03
9.823647E-02 1.140442E-01 4.468475E-04 5.403901E-03
1.053358E-01 1.094253E-01 3.932887E-04 5.787735E-03
1.129481E-01 1.057845E-01 3.833845E-04 6.192091E-03
1.211105E-01 1.040626E-01 3.346716E-04 6.618768E-03
1.298628E-01 1.024142E-01 3.088166E-04 7.095723E-03
1.392477E-01 1.015270E-01 2.893644E-04 7.600103E-03
1.493107E-01 1.006221E-01 2.645279E-04 8.133121E-03
1.601010E-01 1.003760E-01 2.453433E-04 8.714897E-03
1.716710E-01 9.998799E-02 2.296692E-04 9.335488E-03
1.840772E-01 9.930261E-02 2.086200E-04 1.000284E-02
1.973800E-01 9.866766E-02 1.948366E-04 1.071710E-02
2.116441E-01 9.897253E-02 1.826133E-04 1.147917E-02
2.269390E-01 9.833171E-02 1.665291E-04 1.230248E-02
2.433392E-01 9.826260E-02 1.552320E-04 1.318759E-02
2.609247E-01 9.810402E-02 1.449795E-04 1.414355E-02
2.797810E-01 9.786115E-02 1.356908E-04 1.515482E-02
3.000000E-01 9.750799E-02 1.252666E-04 1.624367E-02
3.216802E-01 9.766828E-02 1.168911E-04 1.740902E-02
3.449271E-01 9.724732E-02 1.081067E-04 1.867132E-02
3.698540E-01 9.729878E-02 1.014895E-04 2.001726E-02
3.965823E-01 9.702061E-02 9.485561E-05 2.144785E-02
4.252422E-01 9.694551E-02 9.557103E-05 2.297170E-02
4.559733E-01 9.700338E-02 9.498702E-05 2.464525E-02
4.889253E-01 9.666556E-02 9.371875E-05 2.642250E-02
5.242585E-01 9.686084E-02 9.227788E-05 2.833346E-02
5.621452E-01 9.668447E-02 9.013334E-05 3.037921E-02
6.027699E-01 9.679939E-02 8.834624E-05 3.257832E-02
6.463304E-01 9.666962E-02 8.571113E-05 3.492265E-02
6.930389E-01 9.690907E-02 8.347611E-05 3.745606E-02
7.431229E-01 9.691716E-02 8.136489E-05 4.015979E-02
7.968263E-01 9.683620E-02 8.167457E-05 4.298164E-02
8.544108E-01 9.682887E-02 1.533524E-04 4.551769E-02
