# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 2.434935E+00 1.888158E-01 1.022576E-03
3.216802E-03 2.382065E+00 9.901224E-02 1.024219E-03
3.449271E-03 2.164914E+00 9.769530E-02 1.025745E-03
3.698540E-03 2.144571E+00 7.317676E-02 1.028984E-03
3.965823E-03 1.991176E+00 6.795845E-02 1.032343E-03
4.252422E-03 2.031307E+00 5.717364E-02 1.034278E-03
4.559733E-03 2.097192E+00 4.892795E-02 1.039029E-03
4.889253E-03 2.022483E+00 4.138950E-02 1.043148E-03
5.242585E-03 2.017030E+00 3.429746E-02 1.047768E-03
5.621452E-03 1.943141E+00 2.959843E-02 1.053962E-03
6.027699E-03 1.905316E+00 2.493446E-02 1.060161E-03
6.463304E-03 1.878986E+00 2.139950E-02 1.067623E-03
6.930389E-03 1.864611E+00 1.865702E-02 1.076768E-03
7.431229E-03 1.867433E+00 1.670138E-02 1.085826E-03
7.968263E-03 1.879556E+00 1.474102E-02 1.097193E-03
8.544108E-03 1.874195E+00 1.325189E-02 1.109831E-03
9.161567E-03 1.854403E+00 1.202562E-02 1.124128E-03
9.823647E-03 1.809251E+00 1.091461E-02 1.140262E-03
1.053358E-02 1.798889E+00 9.984284E-03 1.158652E-03
1.129481E-02 1.773345E+00 9.094151E-03 1.179377E-03
1.211105E-02 1.760447E+00 8.384684E-03 1.203020E-03
1.298628E-02 1.721895E+00 7.751811E-03 1.229205E-03
1.392477E-02 1.718794E+00 7.134231E-03 1.258800E-03
1.493107E-02 1.677377E+00 6.888265E-03 1.291655E-03
1.601010E-02 1.629150E+00 6.515900E-03 1.328778E-03
1.716710E-02 1.597103E+00 6.119713E-03 1.370571E-03
1.840772E-02 1.530413E+00 5.691974E-03 1.416888E-03
1.973800E-02 1.474880E+00 5.295206E-03 1.468237E-03
2.116441E-02 1.416446E+00 4.934044E-03 1.524931E-03
2.269390E-02 1.329728E+00 4.476217E-03 1.588047E-03
2.433392E-02 1.258036E+00 4.126904E-03 1.657931E-03
2.609247E-02 1.175236E+00 3.798647E-03 1.734031E-03
2.797810E-02 1.086266E+00 3.425065E-03 1.817752E-03
3.000000E-02 1.004057E+00 3.132196E-03 1.909377E-03
3.216802E-02 9.116952E-01 3.070126E-03 2.007523E-03
3.449271E-02 8.316503E-01 7.229321E-03 2.123016E-03
3.449271E-02 8.323967E-01 3.214996E-03 2.117257E-03
3.698540E-02 7.557778E-01 3.747251E-03 2.221947E-03
3.698540E-02 7.426025E-01 3.212664E-03 2.235472E-03
3.965823E-02 6.423657E-01 3.351044E-03 2.392251E-03
3.965823E-02 6.547947E-01 3.681639E-03 2.363225E-03
4.252422E-02 5.655194E-01 3.228225E-03 2.515876E-03
4.559733E-02 4.858349E-01 2.407574E-03 2.683204E-03
4.889253E-02 4.360691E-01 2.121471E-03 2.826887E-03
5.242585E-02 3.669364E-01 1.719858E-03 3.002610E-03
5.621452E-02 3.126079E-01 1.429107E-03 3.214629E-03
6.027699E-02 2.760643E-01 1.212968E-03 3.424368E-03
6.463304E-02 2.393797E-01 1.070146E-03 3.644727E-03
6.930389E-02 2.102329E-01 8.884290E-04 3.884803E-03
7.431229E-02 1.908656E-01 7.851363E-04 4.150229E-03
7.968263E-02 1.748288E-01 7.237135E-04 4.426668E-03
8.544108E-02 1.633212E-01 6.116510E-04 4.727213E-03
9.161567E-02 1.545515E-01 5.819582E-04 5.056674E-03
9.823647E-02 1.494306E-01 5.146580E-04 5.403875E-03
1.053358E-01 1.445231E-01 4.541470E-04 5.787707E-03
1.129481E-01 1.411325E-01 4.444112E-04 6.192061E-03
1.211105E-01 1.408854E-01 3.905703E-04 6.618736E-03
1.298628E-01 1.395166E-01 3.617096E-04 7.095689E-03
1.392477E-01 1.382001E-01 3.386452E-04 7.600066E-03
1.493107E-01 1.380809E-01 3.108716E-04 8.133081E-03
1.601010E-01 1.388605E-01 2.895016E-04 8.714854E-03
1.716710E-01 1.371135E-01 2.699686E-04 9.335442E-03
1.840772E-01 1.368130E-01 2.457718E-04 1.000279E-02
1.973800E-01 1.362460E-01 2.298924E-04 1.071705E-02
2.116441E-01 1.360283E-01 2.150122E-04 1.147911E-02
2.269390E-01 1.360743E-01 1.967380E-04 1.230242E-02
2.433392E-01 1.357774E-01 1.832863E-04 1.318753E-02
2.609247E-01 1.360341E-01 1.714466E-04 1.414348E-02
2.797810E-01 1.357956E-01 1.604113E-04 1.515475E-02
3.000000E-01 1.352318E-01 1.480552E-04 1.624359E-02
3.216802E-01 1.351955E-01 1.380450E-04 1.740894E-02
3.449271E-01 1.352316E-01 1.279500E-04 1.867122E-02
3.698540E-01 1.349783E-01 1.200131E-04 2.001716E-02
3.965823E-01 1.347552E-01 1.122352E-04 2.144775E-02
4.252422E-01 1.350450E-01 1.133135E-04 2.297159E-02
4.559733E-01 1.348575E-01 1.126759E-04 2.464513E-02
4.889253E-01 1.347427E-01 1.113514E-04 2.642237E-02
5.242585E-01 1.344438E-01 1.093718E-04 2.833332E-02
5.621452E-01 1.345525E-01 1.069947E-04 3.037906E-02
6.027699E-01 1.344099E-01 1.048034E-04 3.257816E-02
6.463304E-01 1.345026E-01 1.018406E-04 3.492248E-02
6.930389E-01 1.344040E-01 9.907623E-05 3.745588E-02
7.431229E-01 1.345049E-01 9.658153E-05 4.015959E-02
7.968263E-01 1.343611E-01 9.706111E-05 4.298143E-02
8.544108E-01 1.344149E-01 1.824884E-04 4.551746E-02
