# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 2.730191E+00 1.833330E-01 1.022575E-03
3.216802E-03 2.691155E+00 9.610343E-02 1.024218E-03
3.449271E-03 2.756344E+00 9.556609E-02 1.025744E-03
3.698540E-03 2.700382E+00 7.163857E-02 1.028983E-03
3.965823E-03 2.665863E+00 6.697599E-02 1.032342E-03
4.252422E-03 2.662809E+00 5.648794E-02 1.034277E-03
4.559733E-03 2.673689E+00 4.841869E-02 1.039029E-03
4.889253E-03 2.593247E+00 4.111632E-02 1.043148E-03
5.242585E-03 2.576967E+00 3.427000E-02 1.047767E-03
5.621452E-03 2.522438E+00 2.976408E-02 1.053962E-03
6.027699E-03 2.531697E+00 2.546759E-02 1.060161E-03
6.463304E-03 2.470211E+00 2.193848E-02 1.067623E-03
6.930389E-03 2.461996E+00 1.930112E-02 1.076768E-03
7.431229E-03 2.448489E+00 1.733565E-02 1.085827E-03
7.968263E-03 2.458748E+00 1.540849E-02 1.097194E-03
8.544108E-03 2.417149E+00 1.384585E-02 1.109832E-03
9.161567E-03 2.411681E+00 1.265458E-02 1.124131E-03
9.823647E-03 2.355557E+00 1.151568E-02 1.140265E-03
1.053358E-02 2.367014E+00 1.062042E-02 1.158656E-03
1.129481E-02 2.293637E+00 9.615344E-03 1.179381E-03
1.211105E-02 2.282627E+00 8.902177E-03 1.203025E-03
1.298628E-02 2.247480E+00 8.251436E-03 1.229211E-03
1.392477E-02 2.180133E+00 7.498572E-03 1.258807E-03
1.493107E-02 2.143434E+00 7.278676E-03 1.291663E-03
1.601010E-02 2.088332E+00 6.892188E-03 1.328787E-03
1.716710E-02 2.021140E+00 6.439425E-03 1.370581E-03
1.840772E-02 1.946403E+00 6.001399E-03 1.416899E-03
1.973800E-02 1.867040E+00 5.576156E-03 1.468250E-03
2.116441E-02 1.786333E+00 5.186764E-03 1.524946E-03
2.269390E-02 1.672462E+00 4.700703E-03 1.588083E-03
2.433392E-02 1.565874E+00 4.307816E-03 1.657973E-03
2.609247E-02 1.459727E+00 3.963888E-03 1.734051E-03
2.797810E-02 1.334430E+00 3.554232E-03 1.817774E-03
3.000000E-02 1.208812E+00 3.216538E-03 1.909401E-03
3.216802E-02 1.097152E+00 3.148338E-03 2.007550E-03
3.449271E-02 9.716138E-01 7.704309E-03 2.123046E-03
3.449271E-02 9.824313E-01 3.271018E-03 2.117287E-03
3.698540E-02 8.812077E-01 3.991662E-03 2.221979E-03
3.698540E-02 8.621292E-01 3.236037E-03 2.235504E-03
3.965823E-02 7.328770E-01 3.490852E-03 2.392287E-03
3.965823E-02 7.411380E-01 3.663882E-03 2.363260E-03
4.252422E-02 6.177803E-01 3.256175E-03 2.515914E-03
4.559733E-02 5.204942E-01 2.398961E-03 2.683246E-03
4.889253E-02 4.537043E-01 2.077362E-03 2.826932E-03
5.242585E-02 3.604747E-01 1.623511E-03 3.002658E-03
5.621452E-02 2.909271E-01 1.309885E-03 3.214682E-03
6.027699E-02 2.386749E-01 1.072778E-03 3.424425E-03
6.463304E-02 1.944444E-01 9.208447E-04 3.644789E-03
6.930389E-02 1.554816E-01 7.325484E-04 3.884870E-03
7.431229E-02 1.282574E-01 6.227882E-04 4.150300E-03
7.968263E-02 1.074607E-01 5.546537E-04 4.426745E-03
8.544108E-02 9.303178E-02 4.565983E-04 4.727296E-03
9.161567E-02 8.100420E-02 4.216983E-04 5.056764E-03
9.823647E-02 7.460634E-02 3.665772E-04 5.403971E-03
1.053358E-01 6.868128E-02 3.179910E-04 5.787810E-03
1.129481E-01 6.536745E-02 3.084024E-04 6.192172E-03
1.211105E-01 6.353634E-02 2.680122E-04 6.618855E-03
1.298628E-01 6.213519E-02 2.467506E-04 7.095817E-03
1.392477E-01 6.103255E-02 2.305147E-04 7.600203E-03
1.493107E-01 6.034671E-02 2.103111E-04 8.133228E-03
1.601010E-01 5.972802E-02 1.945199E-04 8.715012E-03
1.716710E-01 5.909250E-02 1.814066E-04 9.335612E-03
1.840772E-01 5.829332E-02 1.643887E-04 1.000297E-02
1.973800E-01 5.775705E-02 1.532625E-04 1.071724E-02
2.116441E-01 5.749346E-02 1.430487E-04 1.147932E-02
2.269390E-01 5.713431E-02 1.304982E-04 1.230265E-02
2.433392E-01 5.693456E-02 1.215070E-04 1.318777E-02
2.609247E-01 5.691538E-02 1.135795E-04 1.414374E-02
2.797810E-01 5.649669E-02 1.062055E-04 1.515503E-02
3.000000E-01 5.638285E-02 9.808805E-05 1.624389E-02
3.216802E-01 5.613550E-02 9.131179E-05 1.740926E-02
3.449271E-01 5.605089E-02 8.458375E-05 1.867157E-02
3.698540E-01 5.593323E-02 7.929595E-05 2.001753E-02
3.965823E-01 5.575610E-02 7.409084E-05 2.144814E-02
4.252422E-01 5.585255E-02 7.462878E-05 2.297201E-02
4.559733E-01 5.581778E-02 7.400482E-05 2.464558E-02
4.889253E-01 5.559279E-02 7.290778E-05 2.642285E-02
5.242585E-01 5.561145E-02 7.184494E-05 2.833385E-02
5.621452E-01 5.558064E-02 7.019722E-05 3.037962E-02
6.027699E-01 5.556991E-02 6.874826E-05 3.257876E-02
6.463304E-01 5.580732E-02 6.683544E-05 3.492312E-02
6.930389E-01 5.586417E-02 6.501981E-05 3.745657E-02
7.431229E-01 5.613379E-02 6.356180E-05 4.016087E-02
7.968263E-01 5.611482E-02 6.375567E-05 4.298277E-02
8.544108E-01 5.636514E-02 1.197234E-04 4.551830E-02
