# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 1.580338E+00 1.785832E-01 1.022576E-03
3.216802E-03 1.352356E+00 9.323738E-02 1.024219E-03
3.449271E-03 1.398285E+00 9.223597E-02 1.025745E-03
3.698540E-03 1.345284E+00 6.868229E-02 1.028984E-03
3.965823E-03 1.316372E+00 6.371085E-02 1.032343E-03
4.252422E-03 1.282024E+00 5.307517E-02 1.034278E-03
4.559733E-03 1.322300E+00 4.501246E-02 1.039029E-03
4.889253E-03 1.216969E+00 3.758282E-02 1.043148E-03
5.242585E-03 1.232879E+00 3.083422E-02 1.047768E-03
5.621452E-03 1.227852E+00 2.630217E-02 1.053961E-03
6.027699E-03 1.151237E+00 2.169274E-02 1.060161E-03
6.463304E-03 1.158504E+00 1.834363E-02 1.067622E-03
6.930389E-03 1.150825E+00 1.567852E-02 1.076767E-03
7.431229E-03 1.141065E+00 1.372155E-02 1.085826E-03
7.968263E-03 1.128154E+00 1.185320E-02 1.097192E-03
8.544108E-03 1.140603E+00 1.050441E-02 1.109830E-03
9.161567E-03 1.133499E+00 9.430644E-03 1.124127E-03
9.823647E-03 1.111787E+00 8.510115E-03 1.140261E-03
1.053358E-02 1.103189E+00 7.705076E-03 1.158651E-03
1.129481E-02 1.097429E+00 7.001638E-03 1.179375E-03
1.211105E-02 1.095633E+00 6.429546E-03 1.203018E-03
1.298628E-02 1.100733E+00 5.988056E-03 1.229203E-03
1.392477E-02 1.089265E+00 5.466872E-03 1.258798E-03
1.493107E-02 1.080965E+00 5.310113E-03 1.291652E-03
1.601010E-02 1.065361E+00 5.047396E-03 1.328775E-03
1.716710E-02 1.057493E+00 4.757719E-03 1.370567E-03
1.840772E-02 1.053605E+00 4.504723E-03 1.416883E-03
1.973800E-02 1.031948E+00 4.224095E-03 1.468232E-03
2.116441E-02 1.010700E+00 3.967487E-03 1.524926E-03
2.269390E-02 9.897815E-01 3.676155E-03 1.588041E-03
2.433392E-02 9.613207E-01 3.429245E-03 1.657925E-03
2.609247E-02 9.283309E-01 3.207376E-03 1.734024E-03
2.797810E-02 8.884512E-01 2.940293E-03 1.817745E-03
3.000000E-02 8.528407E-01 2.740481E-03 1.909368E-03
3.216802E-02 8.065685E-01 2.731894E-03 2.007514E-03
3.449271E-02 7.539310E-01 6.530404E-03 2.123006E-03
3.449271E-02 7.610868E-01 2.910447E-03 2.117248E-03
3.698540E-02 7.238054E-01 3.510609E-03 2.221937E-03
3.698540E-02 7.126284E-01 2.972289E-03 2.235461E-03
3.965823E-02 6.401617E-01 3.211183E-03 2.392239E-03
3.965823E-02 6.441829E-01 3.448792E-03 2.363213E-03
4.252422E-02 5.713040E-01 3.111944E-03 2.515863E-03
4.559733E-02 5.123705E-01 2.383849E-03 2.683190E-03
4.889253E-02 4.677506E-01 2.119048E-03 2.826872E-03
5.242585E-02 3.964671E-01 1.714225E-03 3.002593E-03
5.621452E-02 3.402807E-01 1.428980E-03 3.214612E-03
6.027699E-02 2.951539E-01 1.199964E-03 3.424349E-03
6.463304E-02 2.520046E-01 1.048729E-03 3.644706E-03
6.930389E-02 2.109609E-01 8.483454E-04 3.884781E-03
7.431229E-02 1.810306E-01 7.298800E-04 4.150205E-03
7.968263E-02 1.556111E-01 6.536367E-04 4.426643E-03
8.544108E-02 1.388163E-01 5.418856E-04 4.727186E-03
9.161567E-02 1.248797E-01 5.043573E-04 5.056645E-03
9.823647E-02 1.166860E-01 4.396100E-04 5.403843E-03
1.053358E-01 1.101444E-01 3.843532E-04 5.787673E-03
1.129481E-01 1.065899E-01 3.746646E-04 6.192024E-03
1.211105E-01 1.041021E-01 3.259812E-04 6.618696E-03
1.298628E-01 1.024747E-01 3.008949E-04 7.095646E-03
1.392477E-01 1.015822E-01 2.820323E-04 7.600020E-03
1.493107E-01 1.006408E-01 2.577479E-04 8.133032E-03
1.601010E-01 1.009256E-01 2.395831E-04 8.714801E-03
1.716710E-01 9.991476E-02 2.236216E-04 9.335386E-03
1.840772E-01 9.879123E-02 2.028593E-04 1.000273E-02
1.973800E-01 9.835641E-02 1.895408E-04 1.071698E-02
2.116441E-01 9.849973E-02 1.775401E-04 1.147904E-02
2.269390E-01 9.837006E-02 1.622403E-04 1.230235E-02
2.433392E-01 9.781632E-02 1.509346E-04 1.318745E-02
2.609247E-01 9.757292E-02 1.408966E-04 1.414339E-02
2.797810E-01 9.730461E-02 1.318395E-04 1.515465E-02
3.000000E-01 9.719141E-02 1.218281E-04 1.624349E-02
3.216802E-01 9.699442E-02 1.134997E-04 1.740883E-02
3.449271E-01 9.708172E-02 1.052274E-04 1.867111E-02
3.698540E-01 9.705390E-02 9.875103E-05 2.001704E-02
3.965823E-01 9.671800E-02 9.226394E-05 2.144761E-02
4.252422E-01 9.698447E-02 9.309558E-05 2.297144E-02
4.559733E-01 9.679797E-02 9.243489E-05 2.464498E-02
4.889253E-01 9.655363E-02 9.122240E-05 2.642220E-02
5.242585E-01 9.652278E-02 8.974431E-05 2.833315E-02
5.621452E-01 9.646386E-02 8.771573E-05 3.037888E-02
6.027699E-01 9.646773E-02 8.593722E-05 3.257796E-02
6.463304E-01 9.657340E-02 8.347954E-05 3.492226E-02
6.930389E-01 9.675522E-02 8.126276E-05 3.745565E-02
7.431229E-01 9.668515E-02 7.921106E-05 4.015934E-02
7.968263E-01 9.685853E-02 7.959388E-05 4.298116E-02
8.544108E-01 9.670260E-02 1.493270E-04 4.551718E-02
