# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 1.457559E+00 1.845171E-01 1.022576E-03
3.216802E-03 1.141274E+00 9.588343E-02 1.024219E-03
3.449271E-03 1.249611E+00 9.505501E-02 1.025745E-03
3.698540E-03 1.003787E+00 7.018807E-02 1.028984E-03
3.965823E-03 9.594399E-01 6.503055E-02 1.032343E-03
4.252422E-03 1.079701E+00 5.447230E-02 1.034278E-03
4.559733E-03 1.045469E+00 4.586083E-02 1.039029E-03
4.889253E-03 9.887350E-01 3.833857E-02 1.043148E-03
5.242585E-03 1.036823E+00 3.144043E-02 1.047767E-03
5.621452E-03 1.000797E+00 2.668498E-02 1.053961E-03
6.027699E-03 9.513056E-01 2.194556E-02 1.060161E-03
6.463304E-03 9.245138E-01 1.835823E-02 1.067622E-03
6.930389E-03 9.323882E-01 1.564651E-02 1.076767E-03
7.431229E-03 9.273917E-01 1.365886E-02 1.085825E-03
7.968263E-03 9.157022E-01 1.171540E-02 1.097192E-03
8.544108E-03 9.125586E-01 1.027299E-02 1.109829E-03
9.161567E-03 9.345124E-01 9.274474E-03 1.124127E-03
9.823647E-03 9.140476E-01 8.338516E-03 1.140260E-03
1.053358E-02 9.012504E-01 7.511609E-03 1.158651E-03
1.129481E-02 9.010531E-01 6.819730E-03 1.179375E-03
1.211105E-02 9.080017E-01 6.273801E-03 1.203017E-03
1.298628E-02 8.964588E-01 5.796375E-03 1.229202E-03
1.392477E-02 8.978648E-01 5.311641E-03 1.258798E-03
1.493107E-02 8.840119E-01 5.127528E-03 1.291652E-03
1.601010E-02 8.848594E-01 4.918703E-03 1.328775E-03
1.716710E-02 8.772317E-01 4.623694E-03 1.370567E-03
1.840772E-02 8.654350E-01 4.353724E-03 1.416883E-03
1.973800E-02 8.485345E-01 4.081446E-03 1.468232E-03
2.116441E-02 8.341760E-01 3.842102E-03 1.524926E-03
2.269390E-02 8.233878E-01 3.572564E-03 1.588041E-03
2.433392E-02 8.060557E-01 3.341545E-03 1.657924E-03
2.609247E-02 7.831016E-01 3.135422E-03 1.734024E-03
2.797810E-02 7.509823E-01 2.878523E-03 1.817744E-03
3.000000E-02 7.190066E-01 2.676598E-03 1.909368E-03
3.216802E-02 6.859405E-01 2.685576E-03 2.007513E-03
3.449271E-02 6.560356E-01 6.223383E-03 2.123006E-03
3.449271E-02 6.623768E-01 2.890746E-03 2.117247E-03
3.698540E-02 6.299889E-01 3.339320E-03 2.221936E-03
3.698540E-02 6.178009E-01 2.945899E-03 2.235461E-03
3.965823E-02 5.625939E-01 3.089239E-03 2.392239E-03
3.965823E-02 5.684408E-01 3.446255E-03 2.363212E-03
4.252422E-02 5.165672E-01 3.057727E-03 2.515863E-03
4.559733E-02 4.730929E-01 2.368950E-03 2.683189E-03
4.889253E-02 4.383084E-01 2.125729E-03 2.826871E-03
5.242585E-02 3.911061E-01 1.777418E-03 3.002593E-03
5.621452E-02 3.502846E-01 1.516988E-03 3.214611E-03
6.027699E-02 3.188717E-01 1.306884E-03 3.424348E-03
6.463304E-02 2.875134E-01 1.174098E-03 3.644706E-03
6.930389E-02 2.580144E-01 9.817594E-04 3.884780E-03
7.431229E-02 2.367359E-01 8.720072E-04 4.150204E-03
7.968263E-02 2.174520E-01 8.030703E-04 4.426642E-03
8.544108E-02 2.067856E-01 6.836699E-04 4.727184E-03
9.161567E-02 1.964618E-01 6.508907E-04 5.056644E-03
9.823647E-02 1.906814E-01 5.765225E-04 5.403841E-03
1.053358E-01 1.861598E-01 5.105106E-04 5.787671E-03
1.129481E-01 1.831346E-01 5.016048E-04 6.192023E-03
1.211105E-01 1.819750E-01 4.400252E-04 6.618695E-03
1.298628E-01 1.811857E-01 4.083191E-04 7.095645E-03
1.392477E-01 1.810985E-01 3.842143E-04 7.600018E-03
1.493107E-01 1.798118E-01 3.516650E-04 8.133030E-03
1.601010E-01 1.804630E-01 3.273675E-04 8.714799E-03
1.716710E-01 1.792373E-01 3.060496E-04 9.335384E-03
1.840772E-01 1.787502E-01 2.787034E-04 1.000272E-02
1.973800E-01 1.776693E-01 2.603946E-04 1.071698E-02
2.116441E-01 1.783387E-01 2.442167E-04 1.147904E-02
2.269390E-01 1.783960E-01 2.235164E-04 1.230235E-02
2.433392E-01 1.783993E-01 2.084549E-04 1.318744E-02
2.609247E-01 1.784966E-01 1.948612E-04 1.414339E-02
2.797810E-01 1.780231E-01 1.822257E-04 1.515465E-02
3.000000E-01 1.773694E-01 1.682110E-04 1.624349E-02
3.216802E-01 1.773368E-01 1.568277E-04 1.740882E-02
3.449271E-01 1.770563E-01 1.452455E-04 1.867110E-02
3.698540E-01 1.770057E-01 1.363172E-04 2.001704E-02
3.965823E-01 1.767645E-01 1.275230E-04 2.144761E-02
4.252422E-01 1.768627E-01 1.287216E-04 2.297144E-02
4.559733E-01 1.769335E-01 1.282316E-04 2.464497E-02
4.889253E-01 1.767731E-01 1.268005E-04 2.642220E-02
5.242585E-01 1.767182E-01 1.246476E-04 2.833314E-02
5.621452E-01 1.765534E-01 1.218939E-04 3.037887E-02
6.027699E-01 1.763613E-01 1.194500E-04 3.257796E-02
6.463304E-01 1.764665E-01 1.161167E-04 3.492226E-02
6.930389E-01 1.765133E-01 1.131008E-04 3.745564E-02
7.431229E-01 1.762446E-01 1.101691E-04 4.015934E-02
7.968263E-01 1.759564E-01 1.108262E-04 4.298115E-02
8.544108E-01 1.755506E-01 2.082557E-04 4.551717E-02
