# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 1.698025E+00 1.756522E-01 1.022577E-03
3.216802E-03 1.410652E+00 9.153761E-02 1.024219E-03
3.449271E-03 1.299139E+00 9.017787E-02 1.025746E-03
3.698540E-03 1.315782E+00 6.724340E-02 1.028984E-03
3.965823E-03 1.298754E+00 6.234844E-02 1.032344E-03
4.252422E-03 1.365134E+00 5.216692E-02 1.034278E-03
4.559733E-03 1.377913E+00 4.415839E-02 1.039029E-03
4.889253E-03 1.326892E+00 3.706265E-02 1.043148E-03
5.242585E-03 1.327594E+00 3.038222E-02 1.047768E-03
5.621452E-03 1.301795E+00 2.590046E-02 1.053962E-03
6.027699E-03 1.294865E+00 2.156175E-02 1.060161E-03
6.463304E-03 1.267276E+00 1.820674E-02 1.067623E-03
6.930389E-03 1.281554E+00 1.565994E-02 1.076768E-03
7.431229E-03 1.244558E+00 1.366175E-02 1.085826E-03
7.968263E-03 1.239583E+00 1.186139E-02 1.097192E-03
8.544108E-03 1.267743E+00 1.055507E-02 1.109830E-03
9.161567E-03 1.265725E+00 9.523689E-03 1.124128E-03
9.823647E-03 1.245393E+00 8.607541E-03 1.140261E-03
1.053358E-02 1.244958E+00 7.833648E-03 1.158651E-03
1.129481E-02 1.242803E+00 7.132400E-03 1.179375E-03
1.211105E-02 1.247916E+00 6.577879E-03 1.203018E-03
1.298628E-02 1.236061E+00 6.095387E-03 1.229203E-03
1.392477E-02 1.225164E+00 5.574580E-03 1.258798E-03
1.493107E-02 1.216663E+00 5.408697E-03 1.291653E-03
1.601010E-02 1.218266E+00 5.186081E-03 1.328775E-03
1.716710E-02 1.201272E+00 4.875351E-03 1.370568E-03
1.840772E-02 1.178977E+00 4.589477E-03 1.416884E-03
1.973800E-02 1.159759E+00 4.306989E-03 1.468232E-03
2.116441E-02 1.140735E+00 4.056293E-03 1.524926E-03
2.269390E-02 1.112947E+00 3.751853E-03 1.588042E-03
2.433392E-02 1.075159E+00 3.488567E-03 1.657925E-03
2.609247E-02 1.039951E+00 3.269190E-03 1.734025E-03
2.797810E-02 9.931535E-01 2.992316E-03 1.817745E-03
3.000000E-02 9.398893E-01 2.767404E-03 1.909369E-03
3.216802E-02 8.868855E-01 2.760403E-03 2.007515E-03
3.449271E-02 8.281796E-01 6.803168E-03 2.123007E-03
3.449271E-02 8.336788E-01 2.932534E-03 2.117248E-03
3.698540E-02 7.792198E-01 3.612372E-03 2.221937E-03
3.698540E-02 7.643729E-01 2.966331E-03 2.235462E-03
3.965823E-02 6.840115E-01 3.276332E-03 2.392240E-03
3.965823E-02 6.933593E-01 3.440235E-03 2.363214E-03
4.252422E-02 6.140486E-01 3.178451E-03 2.515864E-03
4.559733E-02 5.358557E-01 2.393131E-03 2.683191E-03
4.889253E-02 4.879220E-01 2.127291E-03 2.826873E-03
5.242585E-02 4.014012E-01 1.685244E-03 3.002594E-03
5.621452E-02 3.381971E-01 1.390452E-03 3.214613E-03
6.027699E-02 2.810009E-01 1.140189E-03 3.424350E-03
6.463304E-02 2.311129E-01 9.792125E-04 3.644708E-03
6.930389E-02 1.833803E-01 7.726127E-04 3.884782E-03
7.431229E-02 1.503678E-01 6.530307E-04 4.150206E-03
7.968263E-02 1.221745E-01 5.721605E-04 4.426644E-03
8.544108E-02 1.027268E-01 4.646216E-04 4.727187E-03
9.161567E-02 8.787496E-02 4.254205E-04 5.056646E-03
9.823647E-02 7.822004E-02 3.653125E-04 5.403844E-03
1.053358E-01 7.135033E-02 3.155437E-04 5.787674E-03
1.129481E-01 6.685630E-02 3.042083E-04 6.192026E-03
1.211105E-01 6.422147E-02 2.634589E-04 6.618698E-03
1.298628E-01 6.287093E-02 2.424065E-04 7.095649E-03
1.392477E-01 6.153179E-02 2.262563E-04 7.600022E-03
1.493107E-01 6.067106E-02 2.064072E-04 8.133034E-03
1.601010E-01 6.032237E-02 1.910656E-04 8.714804E-03
1.716710E-01 5.924136E-02 1.776803E-04 9.335389E-03
1.840772E-01 5.862045E-02 1.611408E-04 1.000273E-02
1.973800E-01 5.831521E-02 1.504456E-04 1.071698E-02
2.116441E-01 5.791488E-02 1.403733E-04 1.147904E-02
2.269390E-01 5.764872E-02 1.281057E-04 1.230235E-02
2.433392E-01 5.719919E-02 1.191101E-04 1.318745E-02
2.609247E-01 5.719653E-02 1.113565E-04 1.414340E-02
2.797810E-01 5.705189E-02 1.043019E-04 1.515466E-02
3.000000E-01 5.672813E-02 9.621301E-05 1.624350E-02
3.216802E-01 5.663127E-02 8.967865E-05 1.740883E-02
3.449271E-01 5.644885E-02 8.297983E-05 1.867111E-02
3.698540E-01 5.633912E-02 7.781738E-05 2.001705E-02
3.965823E-01 5.619568E-02 7.270992E-05 2.144762E-02
4.252422E-01 5.638834E-02 7.328953E-05 2.297145E-02
4.559733E-01 5.631720E-02 7.262011E-05 2.464498E-02
4.889253E-01 5.616064E-02 7.158708E-05 2.642221E-02
5.242585E-01 5.621787E-02 7.057294E-05 2.833316E-02
5.621452E-01 5.613337E-02 6.894606E-05 3.037889E-02
6.027699E-01 5.622543E-02 6.755409E-05 3.257797E-02
6.463304E-01 5.630846E-02 6.561673E-05 3.492228E-02
6.930389E-01 5.644125E-02 6.387479E-05 3.745566E-02
7.431229E-01 5.663570E-02 6.242882E-05 4.015936E-02
7.968263E-01 5.676664E-02 6.262966E-05 4.298118E-02
8.544108E-01 5.693544E-02 1.175584E-04 4.551720E-02
