# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 1.012835E+00 1.847293E-01 1.022577E-03
3.216802E-03 6.240619E-01 9.595286E-02 1.024220E-03
3.449271E-03 7.197366E-01 9.480446E-02 1.025746E-03
3.698540E-03 7.215960E-01 7.048471E-02 1.028985E-03
3.965823E-03 7.417648E-01 6.522597E-02 1.032344E-03
4.252422E-03 7.537425E-01 5.428543E-02 1.034278E-03
4.559733E-03 8.284468E-01 4.587870E-02 1.039030E-03
4.889253E-03 8.857314E-01 3.859346E-02 1.043149E-03
5.242585E-03 8.153004E-01 3.122338E-02 1.047768E-03
5.621452E-03 8.119889E-01 2.646455E-02 1.053962E-03
6.027699E-03 8.097917E-01 2.181595E-02 1.060161E-03
6.463304E-03 8.028320E-01 1.821397E-02 1.067623E-03
6.930389E-03 8.144859E-01 1.548640E-02 1.076768E-03
7.431229E-03 8.380289E-01 1.354400E-02 1.085826E-03
7.968263E-03 8.422233E-01 1.164972E-02 1.097192E-03
8.544108E-03 8.137421E-01 1.010883E-02 1.109830E-03
9.161567E-03 8.174313E-01 9.039633E-03 1.124128E-03
9.823647E-03 8.247019E-01 8.201158E-03 1.140261E-03
1.053358E-02 8.248744E-01 7.406820E-03 1.158651E-03
1.129481E-02 8.183225E-01 6.702063E-03 1.179376E-03
1.211105E-02 8.168639E-01 6.132847E-03 1.203018E-03
1.298628E-02 8.271762E-01 5.721222E-03 1.229203E-03
1.392477E-02 8.168336E-01 5.207788E-03 1.258798E-03
1.493107E-02 8.138821E-01 5.051260E-03 1.291653E-03
1.601010E-02 8.130621E-01 4.826321E-03 1.328775E-03
1.716710E-02 8.031850E-01 4.543115E-03 1.370568E-03
1.840772E-02 8.044955E-01 4.308041E-03 1.416884E-03
1.973800E-02 7.945752E-01 4.050540E-03 1.468233E-03
2.116441E-02 7.846130E-01 3.820925E-03 1.524927E-03
2.269390E-02 7.651897E-01 3.526147E-03 1.588042E-03
2.433392E-02 7.476001E-01 3.302120E-03 1.657925E-03
2.609247E-02 7.325699E-01 3.110078E-03 1.734025E-03
2.797810E-02 7.060306E-01 2.861221E-03 1.817745E-03
3.000000E-02 6.847945E-01 2.676517E-03 1.909369E-03
3.216802E-02 6.569976E-01 2.694017E-03 2.007515E-03
3.449271E-02 6.228069E-01 6.146542E-03 2.123007E-03
3.449271E-02 6.259781E-01 2.881207E-03 2.117248E-03
3.698540E-02 6.011812E-01 3.299748E-03 2.221938E-03
3.698540E-02 5.975432E-01 2.968830E-03 2.235462E-03
3.965823E-02 5.528402E-01 3.117235E-03 2.392240E-03
3.965823E-02 5.533070E-01 3.482260E-03 2.363214E-03
4.252422E-02 5.097216E-01 3.093617E-03 2.515864E-03
4.559733E-02 4.682504E-01 2.399935E-03 2.683191E-03
4.889253E-02 4.482146E-01 2.194769E-03 2.826873E-03
5.242585E-02 3.967436E-01 1.828651E-03 3.002595E-03
5.621452E-02 3.648779E-01 1.583701E-03 3.214613E-03
6.027699E-02 3.390076E-01 1.378965E-03 3.424350E-03
6.463304E-02 3.098295E-01 1.245299E-03 3.644708E-03
6.930389E-02 2.835000E-01 1.052678E-03 3.884783E-03
7.431229E-02 2.664281E-01 9.449693E-04 4.150206E-03
7.968263E-02 2.513868E-01 8.819632E-04 4.426644E-03
8.544108E-02 2.397821E-01 7.513421E-04 4.727187E-03
9.161567E-02 2.284855E-01 7.164106E-04 5.056647E-03
9.823647E-02 2.257243E-01 6.396785E-04 5.403845E-03
1.053358E-01 2.211312E-01 5.676524E-04 5.787675E-03
1.129481E-01 2.188798E-01 5.591366E-04 6.192027E-03
1.211105E-01 2.173828E-01 4.906536E-04 6.618699E-03
1.298628E-01 2.168571E-01 4.558018E-04 7.095649E-03
1.392477E-01 2.163718E-01 4.285155E-04 7.600023E-03
1.493107E-01 2.153074E-01 3.925658E-04 8.133035E-03
1.601010E-01 2.163532E-01 3.657702E-04 8.714805E-03
1.716710E-01 2.154488E-01 3.424821E-04 9.335389E-03
1.840772E-01 2.146861E-01 3.117852E-04 1.000273E-02
1.973800E-01 2.136330E-01 2.915691E-04 1.071698E-02
2.116441E-01 2.141823E-01 2.733209E-04 1.147904E-02
2.269390E-01 2.144544E-01 2.502612E-04 1.230235E-02
2.433392E-01 2.140959E-01 2.332694E-04 1.318745E-02
2.609247E-01 2.142346E-01 2.179963E-04 1.414340E-02
2.797810E-01 2.138631E-01 2.039255E-04 1.515466E-02
3.000000E-01 2.135678E-01 1.885064E-04 1.624350E-02
3.216802E-01 2.130159E-01 1.755057E-04 1.740884E-02
3.449271E-01 2.133490E-01 1.628196E-04 1.867112E-02
3.698540E-01 2.133165E-01 1.528531E-04 2.001705E-02
3.965823E-01 2.128811E-01 1.429341E-04 2.144762E-02
4.252422E-01 2.131179E-01 1.443595E-04 2.297145E-02
4.559733E-01 2.131977E-01 1.438881E-04 2.464499E-02
4.889253E-01 2.131423E-01 1.423585E-04 2.642221E-02
5.242585E-01 2.128802E-01 1.399213E-04 2.833316E-02
5.621452E-01 2.131002E-01 1.370133E-04 3.037889E-02
6.027699E-01 2.128709E-01 1.342915E-04 3.257798E-02
6.463304E-01 2.128629E-01 1.305581E-04 3.492228E-02
6.930389E-01 2.128905E-01 1.272411E-04 3.745566E-02
7.431229E-01 2.126711E-01 1.239932E-04 4.015936E-02
7.968263E-01 2.127543E-01 1.249829E-04 4.298118E-02
8.544108E-01 2.127216E-01 2.353189E-04 4.551720E-02
